Unnamed: 0,genre,lexical_field
0,thriller,tough abstruseness irresolution anxiety subtlety chiller puzzler occult conundrum impatience problem stumper eagerness indecision charade page cloak dollar nut dagger friend puzzlement family crux stickler sixty call inscrutableness book shave uncertainty year find narrow enigma teaser young woman white suspense inscrutablenesses mindbogglers grabber braintwister riddle puzzle escape difficulty poser squeaker rune cliff take secrecy inscrutability dilemma oracle twister spine question doubt potboiler wavering thriller thousand wife suspenseful apprehension expectancy insecurity rebus brainteasers brainteaser shocker tension close crack expectation mystery life mindboggler hesitancy cliffhanger cryptogram whodunit closed turner knuckle confusion braintwisters indecisiveness sphinx hanger hesitation mystification perplexity murder
1,horror,aversion abomination savagery repulsion abhorrence anxiety strain use torment enmity consternation nervousness outrage brutality dismay dislike inhumanity distress evil displeasure plague panic dread bother dissatisfaction friend family horror disliking revulsion hate house animosity foot year anathema find young malice woman indisposition allergy viciousness hatred distaste crime nuisance stress disfavor antipathy shame opposition apprehension repugnance detestation uneasiness terror offense iniquity alarm tension odium atrocity cold loathing enormity life fright reluctance night ruthlessness unwillingness antagonism scare curse unease disinclination barbarity infamy trepidation disgust monstrosity hostility wrong
2,comedy,make comicality travesty humorousness horseplay camp clowning joke farcicality jocosity zaniness jocularity slapstick life love burlesque wittiness interlude witticism scene ridiculousness high show dramatics drama farcicalness comicalness waggishness caricature waggery drollness tension find low histrionics broad excitement tragedy farce jest spectacle absurdity jesting mockery hilariousness drollery melodrama crisis buffoonery parody wit skit emotion nonsense mock funniness comedy play friend take sham climax family pratfall jocoseness ludicrousness theatrics time
3,drama,romance stir chart fable imagination hoopla arrangement excitation legend hubbub fish cantata animation turmoil terminological hysteria bother anecdote writing play exposition invention stimulus tale friend smoke opus essay tumult number family theater poetry bustle work titillation tall fuss brouhaha commotion setup book intoxication exercise frenzy untruth flurry hullabaloo dramatics year movement verse firework find heat prevarication young study rage woman literary racket inexactitude furor story manuscript seller impulse cliff instigation theatre lie fiction novel disturbance improvisation wildness provocation melody discomposure fancy hooey falsehood kick buzz potboiler drama article clothesline histrionics motive best song excitement passion composition paper opera elation activity dither whopper melodrama hurry score ruckus ado fib fever music narrative short dissertation concoction action fantasy crock figment dramaturgy adventure thrill piece life love misrepresentation father tune rhapsody storytelling feeling theme concerto fabrication stage urge myth acting stanza agitation motivation ferment rumpus confusion thesis emotion stimulation getup hanger yarn trepidation warmth symphony perturbation
4,western,gold colt leone far eastwood gary country bandit indian outlaw western rodeo picture desperado desert pioneer buffalo gang ranch spaghetti cowboy sheriff find lucky indigenous john movie django opera shoot wayne boy ford anthony story diligence town horse mann oater appaloosa clint luke take cow cooper west
5,family,sister order consanguinean strain underworld agreement fraternity gang consanguinity companionship conjunction crew flesh alliance kindred syndicate heritage friend family coalition zoo crowd pedigree league guild bloodline parentage acquaintance troupe year child find birth fraternization hookup partnership pack sorority blood congress extraction combo take company union organization relationship world outfit biological kin sodality relative combination band society mafia lineage descent nostra bunch camaraderie confederation clan acquaintanceship affiliation frequentings kinship tribe make genealogy federation stock cosa origin mafioso rat life fellowship troop uterine circle show friendliness club tie participation pool relation cooperative descendant association familiarity brother mob confederacy assistance comradeship clique corporation cooperation line membership genetic ring intimacy
6,sport,throwing gorilla display monkeyshines flashing stunt swing shenanigan sportsperson person rollick displaying gesture sporting amateur muscle jest contender raising shake throw threaten play championship professional contestant match joke interest practical iron parade foot wielding come diversion sportspersons revel entertainment raise animal strong hobby tomfoolery jockey coming parading shaking world jinks rib first exhibiting trick hop game put around brandishing title jump challenger disporting warn hot amusement event exhibit prank caper distraction gag superjocks athlete lark time jock expose high showing team escapade show weight brandish competitor mischief gambol leap flash superjock trotting wield sport shoulder exposing recreation warning trot gesturing swinging disport threatening player
7,romance,romance enlarging brag pad timing chart emphasizing arrangement heighten build coloring exaggerating cantata panky enlarge intensify much lying stretching writing exalting play exposition overdrawing friend cook opus number essay poetry family work together boasting puffing hyperbolizing exaggerate overdo boast extracurricular going distort enamoredness thing cooking fabricate lovingness setup boosting pyramiding affair exercise affaire pretty corrupting caricature verse find hanky expand distorting padding intensifying study pyramid literary story expanding overdraw fondness manuscript inflating exalt overestimate carrying fudge fling scam lie bragging fiction novel romanticize girl hiking embroider relationship blowing melody misquote romancing embroidering blow fancy scamming puff talk loud amour drama put affection magnifying playing hyperbolize around proportion misrepresent article liaison corrupt song fall romanticizing passion extreme composition amplifying paper opera rendezvous activity hike misrepresenting score putting meet boost music fudging short amorousness dissertation inflate intimacy upping overdoing time make lay fabricating caricaturing piece life love amplify tune building misreporting rhapsody theme overemphasize overemphasizing concerto misreport overestimating stretch color making emphasize stanza thick amativeness magnify intrigue heightening thesis falsify getup falsifying symphony misquoting
8,war,fighting barrage skirmish combat struggle warfare significant onset clamor strife aggression contend wrestled campaign blitzkreig conflict battled contested agitate contest german scrimmage agitated strove sortie blitzkreigs feud strive argued contends warred argue disputed world clash army soldier skirmished brush wrestle ravage bombing tug crusade battle combated engagement assault havoc bloodshed action film episode oppugns partisan carnage contention tugged fight press life fray agitates feuded argues armed enemy attack oppugned encounter strives oppugn contended contact clamored onslaught hostility war dispute
9,game-show,round contestant game show team panel answer prize would program question quiz player giveaway
